City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
35,Port Alfred,ZA,-33.5906,26.891,71.01,89,53,8.99,light rain
36,Bluff,NZ,-46.6,168.3333,54.0,71,96,5.01,light rain
37,Hithadhoo,MV,-0.6,73.0833,83.01,68,66,5.57,broken clouds
38,Hobart,AU,-42.8794,147.3294,59.0,88,82,5.75,broken clouds
39,Caravelas,BR,-17.7125,-39.2481,77.13,81,33,7.72,scattered clouds
40,Mahebourg,MU,-20.4081,57.7,80.6,78,40,3.44,scattered clouds
41,Morristown,US,36.214,-83.2949,39.0,32,1,4.61,clear sky
42,Severo-Kurilsk,RU,50.6789,156.125,23.52,95,97,30.13,light snow
43,Souillac,MU,-20.5167,57.5167,80.6,78,40,3.44,scattered clouds
44,Kirkland Lake,CA,48.1446,-80.0377,-2.2,78,23,5.39,few clouds
45,Biltine,TD,14.5333,20.9167,85.95,12,75,9.71,broken clouds
46,Tiksi,RU,71.6872,128.8694,-42.68,79,35,6.06,scattered clouds
47,Vaini,TO,-21.2,-175.2,75.2,100,75,2.3,moderate rain
48,Cuamba,MZ,-14.8031,36.5372,70.27,96,100,2.08,overcast clouds
49,Chokurdakh,RU,70.6333,147.9167,-35.82,83,96,5.39,overcast clouds
50,Necochea,AR,-38.5473,-58.7368,95.0,42,0,5.01,clear sky
51,Aksu,CN,41.1231,80.2644,22.55,87,86,3.51,overcast clouds
52,Kapaa,US,22.0752,-159.319,73.4,88,75,20.71,light rain
53,Torbay,CA,47.6666,-52.7314,25.0,86,75,20.71,broken clouds
54,Taquari,BR,-29.7997,-51.8644,87.01,63,0,4.05,clear sky
55,Micheweni,TZ,-4.9667,39.8333,80.74,79,66,13.91,broken clouds
56,Vila Do Maio,CV,15.1333,-23.2167,80.6,47,70,19.57,broken clouds
57,Hwange,ZW,-18.3693,26.5019,81.41,71,25,0.25,light rain
58,Hilo,US,19.7297,-155.09,69.8,78,90,6.91,light rain
59,Chuy,UY,-33.6971,-53.4616,83.08,59,35,11.92,scattered clouds
60,Shakawe,BW,-18.3667,21.85,82.02,65,100,3.67,overcast clouds
61,Butaritari,KI,3.0707,172.7902,78.8,83,33,10.83,scattered clouds
62,Sinop,TR,41.7711,34.8709,38.75,73,0,12.17,clear sky
63,Pangnirtung,CA,66.1451,-65.7125,15.8,79,1,3.51,clear sky
64,Najran,SA,17.4924,44.1277,60.8,31,2,11.5,dust
65,Porto Belo,BR,-27.1578,-48.5531,78.8,78,75,9.4,light rain
66,Bambous Virieux,MU,-20.3428,57.7575,81.0,78,40,3.44,scattered clouds
67,Grindavik,IS,63.8424,-22.4338,30.2,74,75,29.93,broken clouds
68,Malumfashi,NG,11.7853,7.6218,83.75,14,35,13.13,scattered clouds
69,Tashtagol,RU,52.7657,87.8894,4.5,92,100,1.59,overcast clouds
