City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Tura,IN,2021-01-21 01:37:19,25.5198,90.2201,58.69,88,0,2.75
129,Taltal,CL,2021-01-21 01:37:19,-25.4,-70.4833,65.7,70,4,3.58
130,La Ronge,CA,2021-01-21 01:34:51,55.1001,-105.2842,15.8,79,100,16.11
131,Nishihara,JP,2021-01-21 01:34:23,26.1842,127.7558,71.6,78,75,19.57
132,Chuy,UY,2021-01-21 01:37:20,-33.6971,-53.4616,66.7,84,0,6.8
133,Waghai,IN,2021-01-21 01:37:20,20.7667,73.4833,62.98,40,0,2.1
134,Caravelas,BR,2021-01-21 01:37:20,-17.7125,-39.2481,73.81,87,0,4.5
135,Iralaya,HN,2021-01-21 01:37:20,15.0,-83.2333,77.47,84,0,12.28
136,Lagoa,PT,2021-01-21 01:37:20,39.05,-27.9833,61.27,87,20,24.47
137,Kasulu,TZ,2021-01-21 01:37:20,-4.5767,30.1025,63.32,89,100,0.72
138,Bredasdorp,ZA,2021-01-21 01:37:20,-34.5322,20.0403,64.4,77,99,6.91
139,Nguru,NG,2021-01-21 01:37:21,12.8791,10.4526,60.49,30,0,13.69
140,Otane,NZ,2021-01-21 01:37:21,-39.8833,176.6333,64.99,59,84,11.99
141,Vestmannaeyjar,IS,2021-01-21 01:37:21,63.4427,-20.2734,32.52,88,79,22.12
142,New Norfolk,AU,2021-01-21 01:37:21,-42.7826,147.0587,75.99,21,100,1.99
143,Bambous Virieux,MU,2021-01-21 01:37:21,-20.3428,57.7575,80.01,89,75,8.05
144,Tucuman,AR,2021-01-21 01:32:44,-26.8241,-65.2226,77.0,65,0,3.44
145,Severo-Kurilsk,RU,2021-01-21 01:34:54,50.6789,156.125,18.81,92,90,26.73
146,Terney,RU,2021-01-21 01:37:21,45.0503,136.6092,28.13,85,0,8.01
147,Murray,US,2021-01-21 01:35:36,40.6669,-111.888,35.01,64,1,3.44
148,Hovd,MN,2021-01-21 01:37:22,48.0056,91.6419,10.2,86,93,0.36
149,Mahebourg,MU,2021-01-21 01:37:22,-20.4081,57.7,78.8,89,75,8.05
150,Provideniya,RU,2021-01-21 01:37:22,64.3833,-173.3,-0.4,71,90,17.9
151,Tiksi,RU,2021-01-21 01:37:22,71.6872,128.8694,-28.03,86,100,5.46
152,Molodizhne,UA,2021-01-21 01:37:22,48.1773,32.6601,15.8,73,90,11.18
153,Half Moon Bay,US,2021-01-21 01:34:23,37.4636,-122.4286,62.6,29,1,10.36
154,Ilebo,CD,2021-01-21 01:37:22,-4.3167,20.5833,69.82,95,100,0.76
155,Paamiut,GL,2021-01-21 01:37:23,61.994,-49.6678,27.73,81,44,2.04
156,Kodiak,US,2021-01-21 01:37:23,57.79,-152.4072,42.8,70,1,1.79
157,San Vicente,AR,2021-01-21 01:37:23,-26.6167,-54.1333,66.54,100,100,3.51
158,Te Anau,NZ,2021-01-21 01:37:23,-45.4167,167.7167,53.02,82,85,1.66
159,Hithadhoo,MV,2021-01-21 01:37:23,-0.6,73.0833,81.75,74,1,11.41
160,El Vigia,VE,2021-01-21 01:37:23,8.6219,-71.6506,75.47,76,18,1.97
161,Nanortalik,GL,2021-01-21 01:37:23,60.1432,-45.2371,24.71,89,100,9.15
162,Koumac,NC,2021-01-21 01:37:23,-20.5667,164.2833,80.98,71,100,14.36
163,Sola,VU,2021-01-21 01:37:23,-13.8833,167.55,89.6,70,40,5.75
164,Seguin,US,2021-01-21 01:35:06,29.5688,-97.9647,53.6,87,90,4.61
165,Norman Wells,CA,2021-01-21 01:37:24,65.282,-126.8329,8.6,85,75,4.92
166,Harper,LR,2021-01-21 01:37:24,4.375,-7.7169,78.51,86,80,7.52
167,Taki,IN,2021-01-21 01:37:24,22.5861,88.9214,60.8,88,0,6.55
168,Vaitape,PF,2021-01-21 01:37:24,-16.5167,-151.75,81.48,76,22,15.26
169,Clyde River,CA,2021-01-21 01:37:25,70.4692,-68.5914,1.4,85,1,3.44
170,Bedesa,ET,2021-01-21 01:37:25,8.9,40.7833,57.9,35,78,4.61
171,Sarahan,IN,2021-01-21 01:37:25,31.5167,77.8,32.4,50,0,13.15
172,Sao Joao Da Barra,BR,2021-01-21 01:37:25,-21.6403,-41.0511,75.85,89,98,11.27
173,Anchorage,US,2021-01-21 01:37:03,61.2181,-149.9003,30.2,80,90,4.61
174,Charyshskoye,RU,2021-01-21 01:37:25,51.3978,83.5598,26.85,93,100,4.21
175,Port Hawkesbury,CA,2021-01-21 01:34:53,45.6169,-61.3485,24.01,54,1,14.97
176,Alofi,NU,2021-01-21 01:37:26,-19.0595,-169.9187,86.0,70,75,3.44
177,Nouadhibou,MR,2021-01-21 01:37:26,20.931,-17.0347,60.8,59,0,12.66
178,Lebu,CL,2021-01-21 01:37:26,-37.6167,-73.65,59.49,80,0,18.77
179,Sirsilla,IN,2021-01-21 01:37:26,18.3833,78.8333,68.27,49,0,3.06
180,North Branch,US,2021-01-21 01:37:26,45.5113,-92.9802,37.0,71,0,11.01
181,Abu Dhabi,AE,2021-01-21 01:35:48,24.4667,54.3667,62.6,94,90,2.3
182,Guerrero Negro,MX,2021-01-21 01:37:26,27.9769,-114.0611,67.23,67,82,13.13
183,Canillo,AD,2021-01-21 01:37:27,42.5833,1.6667,39.0,84,75,5.64
184,Madang,PG,2021-01-21 01:37:27,-5.2246,145.7966,85.21,69,100,2.59
185,Robertsport,LR,2021-01-21 01:37:27,6.7533,-11.3686,79.18,84,14,4.63
186,Chokurdakh,RU,2021-01-21 01:37:27,70.6333,147.9167,-32.3,84,100,8.95
187,Codrington,AU,2021-01-21 01:37:27,-38.2667,141.9667,79.79,35,0,7.85
188,Limon,CR,2021-01-21 01:35:01,10.0,-83.0333,75.2,94,75,4.41
189,Cidreira,BR,2021-01-21 01:37:27,-30.1811,-50.2056,73.24,76,100,13.51
190,Qaqortoq,GL,2021-01-21 01:34:28,60.7167,-46.0333,39.2,20,99,19.57
191,Faanui,PF,2021-01-21 01:37:28,-16.4833,-151.75,81.48,76,21,15.23
192,Taoudenni,ML,2021-01-21 01:37:28,22.6783,-3.9836,62.58,25,98,10.45
193,Kavaratti,IN,2021-01-21 01:34:24,10.5669,72.642,81.95,69,0,10.67
194,Iqaluit,CA,2021-01-21 01:37:28,63.7506,-68.5145,3.2,78,75,23.02
195,Dikson,RU,2021-01-21 01:34:32,73.5069,80.5464,-4.47,92,100,7.27
196,Castro,BR,2021-01-21 01:37:28,-24.7911,-50.0119,62.4,98,96,5.79
197,Katsuura,JP,2021-01-21 01:37:28,35.1333,140.3,48.0,45,40,5.75
198,Moyale,KE,2021-01-21 01:37:29,3.5167,39.0584,73.6,28,100,14.07
199,Kundiawa,PG,2021-01-21 01:37:29,-6.0167,144.9667,78.71,48,94,2.66
200,Sasayama,JP,2021-01-21 01:37:22,35.0667,135.2167,44.01,65,0,4.61
201,Ngaoundere,CM,2021-01-21 01:37:29,7.3167,13.5833,61.5,30,0,5.61
202,Naze,JP,2021-01-21 01:34:44,28.3667,129.4833,68.0,73,75,18.41
203,Chimore,BO,2021-01-21 01:37:29,-16.9833,-65.1333,73.87,82,100,3.2
204,Harlingen,US,2021-01-21 01:37:12,26.1906,-97.6961,60.8,100,90,6.91
205,Ugep,NG,2021-01-21 01:37:29,5.8086,8.0812,71.87,91,86,2.66
206,Henties Bay,NA,2021-01-21 01:37:30,-22.116,14.2845,68.0,87,100,1.99
207,Lata,PT,2021-01-21 01:37:30,40.1629,-8.3327,55.0,95,73,4.0
208,Westport,US,2021-01-21 01:37:30,41.1415,-73.3579,28.0,50,23,12.88
209,Chernyshevskiy,RU,2021-01-21 01:37:30,63.0128,112.4714,-50.21,78,100,1.83
210,Catamarca,AR,2021-01-21 01:32:44,-28.4696,-65.7852,63.0,69,84,1.99
211,Makurdi,NG,2021-01-21 01:37:30,7.7411,8.5121,72.3,23,4,4.14
212,Acolla,PE,2021-01-21 01:37:30,-11.7319,-75.5463,47.39,75,59,5.3
213,Emba,KZ,2021-01-21 01:37:31,48.8264,58.1442,-0.08,93,100,2.8
214,Bilkha,IN,2021-01-21 01:37:31,21.4333,70.6,58.12,42,0,5.17
215,Booue,GA,2021-01-21 01:37:31,-0.0921,11.9385,72.21,93,66,2.28
216,Tecoanapa,MX,2021-01-21 01:37:31,16.5167,-98.75,79.92,76,0,10.04
217,Nkongsamba,CM,2021-01-21 01:37:31,4.9547,9.9404,66.16,81,72,1.77
218,Royan,FR,2021-01-21 01:37:31,45.6285,-1.0281,53.6,100,90,17.27
219,Masallatah,LY,2021-01-21 01:37:31,32.6167,14.0,49.91,55,1,16.82
220,Flinders,AU,2021-01-21 01:37:32,-34.5833,150.8552,80.01,56,0,5.01
221,Barth,DE,2021-01-21 01:37:32,54.3635,12.7249,44.01,75,75,6.91
222,Port-Cartier,CA,2021-01-21 01:37:32,50.0334,-66.8654,6.8,61,0,13.8
223,Wilmington,US,2021-01-21 01:37:18,34.2257,-77.9447,44.6,57,1,1.95
224,Padang,ID,2021-01-21 01:37:32,-0.9492,100.3543,77.0,78,20,2.3
225,Praia Da Vitoria,PT,2021-01-21 01:37:32,38.7333,-27.0667,61.0,82,20,9.33
226,Vestmanna,FO,2021-01-21 01:37:32,62.1564,-7.1664,37.4,81,20,23.02
227,Weligama,LK,2021-01-21 01:37:33,5.9667,80.4167,77.05,85,17,6.87
228,High Level,CA,2021-01-21 01:37:33,58.5169,-117.136,15.8,86,90,2.3
229,Lompoc,US,2021-01-21 01:37:33,34.6391,-120.4579,71.6,34,0,11.5
230,Nome,US,2021-01-21 01:33:11,64.5011,-165.4064,14.0,79,90,19.57
231,Alexandria,EG,2021-01-21 01:37:18,31.2156,29.9553,55.4,58,40,9.22
232,Mount Gambier,AU,2021-01-21 01:37:33,-37.8333,140.7667,86.0,19,0,8.05
233,Arteaga,MX,2021-01-21 01:37:34,18.4667,-102.4167,62.85,74,49,3.04
234,Vardo,NO,2021-01-21 01:34:20,70.3705,31.1107,22.28,89,100,18.34
235,Kielce,PL,2021-01-21 01:37:34,50.8703,20.6275,32.0,1,10,6.6
236,Butaritari,KI,2021-01-21 01:37:34,3.0707,172.7902,80.67,79,9,16.2
237,Bako,ET,2021-01-21 01:37:34,5.7833,36.5667,69.94,41,100,2.68
238,Lusambo,CD,2021-01-21 01:37:34,-4.9667,23.45,68.9,94,100,0.89
239,Aranos,NA,2021-01-21 01:37:35,-24.1333,19.1167,77.49,56,100,6.11
240,Cardoso,BR,2021-01-21 01:37:35,-20.0819,-49.9142,77.34,68,91,5.55
241,Ahuimanu,US,2021-01-21 01:37:35,21.4447,-157.8378,80.6,61,75,12.66
242,Bagepalli,IN,2021-01-21 01:37:35,13.7847,77.7931,60.8,100,75,1.14
243,General Pico,AR,2021-01-21 01:37:35,-35.6566,-63.7568,78.15,20,0,8.32
244,Asau,RO,2021-01-21 01:34:24,46.4333,26.4,34.0,93,71,10.36
245,Kimbe,PG,2021-01-21 01:37:35,-5.5502,150.1429,85.3,69,100,4.83
246,Nemuro,JP,2021-01-21 01:37:35,43.3236,145.575,23.0,68,75,4.61
247,Souillac,MU,2021-01-21 01:37:36,-20.5167,57.5167,78.8,89,75,8.05
248,Ambanja,MG,2021-01-21 01:37:36,-13.6833,48.45,74.77,88,100,3.74
249,Setubal,PT,2021-01-21 01:36:35,38.5244,-8.8882,55.99,94,40,8.05
250,Kloulklubed,PW,2021-01-21 01:37:37,7.0419,134.2556,82.4,83,75,5.75
251,Santa Maria Da Vitoria,BR,2021-01-21 01:37:37,-13.3947,-44.1886,76.59,52,91,2.13
252,Impfondo,CG,2021-01-21 01:37:37,1.6381,18.0667,71.83,84,93,2.98
253,Regina,CA,2021-01-21 01:34:28,50.4501,-104.6178,28.4,80,75,24.16
254,Gimli,CA,2021-01-21 01:37:37,50.6336,-96.9907,33.8,75,100,5.75
255,Coihaique,CL,2021-01-21 01:37:37,-45.5752,-72.0662,66.2,63,90,3.44
256,Lekoni,GA,2021-01-21 01:37:38,-1.5843,14.2591,74.25,76,100,6.02
257,Haines Junction,CA,2021-01-21 01:37:38,60.7522,-137.5108,8.6,92,100,1.14
258,Victoria Point,AU,2021-01-21 01:37:38,-27.5833,153.3,80.01,61,65,8.01
259,Keti Bandar,PK,2021-01-21 01:37:38,24.1447,67.4497,66.2,91,0,7.52
260,Marsaxlokk,MT,2021-01-21 01:37:38,35.8419,14.5431,57.99,72,20,9.22
261,Beaumont,US,2021-01-21 01:37:22,30.0861,-94.1019,62.6,94,90,5.75
262,Aleksandrov Gay,RU,2021-01-21 01:37:38,50.147,48.5704,-10.03,90,0,6.62
263,La Palma,US,2021-01-21 01:37:39,33.8464,-118.0467,72.0,28,1,13.8
264,Champerico,GT,2021-01-21 01:37:39,14.3,-91.9167,84.2,65,20,6.91
265,Gornopravdinsk,RU,2021-01-21 01:37:39,60.05,69.9,-6.99,90,100,6.08
266,Murgab,TM,2021-01-21 01:37:39,37.4966,61.9714,37.4,100,90,6.91
267,Saint George,US,2021-01-21 01:37:39,37.1041,-113.5841,57.2,35,20,1.01
268,Tasiilaq,GL,2021-01-21 01:37:39,65.6145,-37.6368,8.6,72,22,1.19
269,Okhotsk,RU,2021-01-21 01:37:40,59.3833,143.3,-8.18,82,100,7.11
270,Motygino,RU,2021-01-21 01:37:40,58.1831,94.7592,-31.43,84,55,1.16
271,Adrar,MR,2021-01-21 01:37:40,20.5022,-10.0711,61.81,26,93,12.68
272,Ponta Do Sol,PT,2021-01-21 01:34:43,32.6667,-17.1,62.01,82,20,3.44
273,Kulhudhuffushi,MV,2021-01-21 01:35:03,6.6221,73.07,81.18,68,0,5.66
274,Dwarka,IN,2021-01-21 01:37:40,22.2394,68.9678,66.25,75,0,8.7
275,Cherskiy,RU,2021-01-21 01:37:40,68.75,161.3,-44.95,75,13,3.42
276,Maceio,BR,2021-01-21 01:33:15,-9.6658,-35.7353,77.0,83,0,3.44
277,Sibu,MY,2021-01-21 01:37:41,2.3,111.8167,77.0,94,40,4.61
278,San Andres,CO,2021-01-21 01:37:41,12.5847,-81.7006,82.4,74,20,14.97
279,Comodoro Rivadavia,AR,2021-01-21 01:36:11,-45.8667,-67.5,78.8,53,0,4.61
280,Mackay,AU,2021-01-21 01:33:21,-21.15,149.2,80.6,78,75,18.41
281,Lake City,US,2021-01-21 01:37:41,30.1897,-82.6393,57.2,82,1,3.44
282,Mpophomeni,ZA,2021-01-21 01:37:41,-29.5682,30.1862,64.99,96,99,2.06
283,Nabire,ID,2021-01-21 01:37:41,-3.3667,135.4833,86.27,64,100,4.36
284,Jizan,SA,2021-01-21 01:33:03,17.3333,42.6667,75.2,83,0,3.44
285,Mackenzie,CA,2021-01-21 01:37:42,55.2999,-123.1698,19.4,86,1,3.44
286,Sakaiminato,JP,2021-01-21 01:37:42,35.55,133.2333,39.2,87,20,5.75
287,Amapa,BR,2021-01-21 01:37:42,1.0,-52.0,69.46,98,100,1.03
288,Raudeberg,NO,2021-01-21 01:37:42,61.9875,5.1352,37.0,90,100,10.67
289,Nara,JP,2021-01-21 01:37:42,34.6851,135.8049,46.99,61,0,2.3
290,Los Llanos De Aridane,ES,2021-01-21 01:35:12,28.6585,-17.9182,64.4,77,90,4.61
291,Hasaki,JP,2021-01-21 01:37:43,35.7333,140.8333,45.0,70,75,3.44
292,Ancud,CL,2021-01-21 01:37:43,-41.8697,-73.8203,64.99,77,0,5.75
293,Ust-Kuyga,RU,2021-01-21 01:37:43,70.0167,135.6,-36.13,79,93,1.3
294,Palmer,US,2021-01-21 01:37:43,42.1584,-72.3287,25.0,61,49,1.99
