City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
304,Namibe,AO,77.0,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
305,Mbale,UG,77.41,overcast clouds,1.0821,34.175,Wash And Wills Hotel
306,San Miguel,SV,86.0,clear sky,13.4833,-88.1833,Excalibur
307,Saint-Philippe,RE,82.4,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
310,Jaguaruna,BR,80.13,heavy intensity rain,-28.615,-49.0256,Pousada Recanto das Flores Jaguaruna
312,Sampit,ID,74.8,heavy intensity rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
315,Flinders,AU,73.4,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
321,Kampot,KH,78.8,few clouds,10.6167,104.1833,Two Moons Hotel
322,Banganapalle,IN,76.1,clear sky,15.3167,78.2333,Careerfinder4you
324,Daru,PG,77.18,overcast clouds,-9.0763,143.2092,Daru Lodge
325,Pontes E Lacerda,BR,87.4,moderate rain,-15.2261,-59.3353,Hotel Bressan
327,Maragogi,BR,82.92,moderate rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
332,Mackay,AU,78.8,scattered clouds,-21.15,149.2,International Lodge Motel
333,Miandrivazo,MG,87.62,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
336,Chavakkad,IN,80.6,mist,10.5333,76.05,Rajah Island
337,Livingstonia,MW,68.77,moderate rain,-10.606,34.1063,Stone House Guest House
338,Kruisfontein,ZA,75.99,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
341,Victoria,HK,66.99,clear sky,22.2855,114.1577,Mini Hotel Central
343,Bubaque,GW,78.06,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
344,Port-Gentil,GA,84.2,broken clouds,-0.7193,8.7815,Fengshui Residence
345,Kingston,JM,86.0,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
346,Gawler,AU,89.01,overcast clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
349,Chinchani,IN,73.35,clear sky,19.8667,72.7,Vasantshrushti Farm
351,Oyem,GA,86.0,broken clouds,1.5995,11.5793,Commissariat de police
358,Torres,BR,79.39,few clouds,-29.3353,-49.7269,Farol Hotel
359,Bahia Honda,CU,77.61,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
360,Cayenne,GF,84.2,light rain,4.9333,-52.3333,Hôtel Le Dronmi
371,Dubai,AE,69.8,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
375,Rio Grande,BR,86.0,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
376,Brownsville,US,71.6,haze,25.9018,-97.4975,Hotel Alameda Express
379,Alcantara,BR,87.8,light rain,-2.4089,-44.4147,Pousada da Josefa
382,Dicabisagan,PH,76.68,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
385,Moerai,PF,80.4,broken clouds,-22.4333,-151.3333,Le Manotel
386,Teshie,GH,86.0,haze,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
388,Hambantota,LK,77.0,few clouds,6.1241,81.1185,Bungalow 63
389,Sungaipenuh,ID,65.3,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
396,Kamina,CD,71.51,moderate rain,-8.7386,24.9906,Guest House la Grace
401,Port Augusta,AU,81.0,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
404,Santo Antonio Do Leverger,BR,89.6,clear sky,-15.8656,-56.0767,Chácara Do SINETRAN
410,Bourail,NC,73.85,overcast clouds,-21.5667,165.4833,Motel Allamanda
412,Mount Isa,AU,78.8,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
413,Tabou,CI,82.36,light rain,4.423,-7.3528,hotêl doufoulougou
416,Panvel,IN,80.6,smoke,18.9833,73.1,shiva lodge
419,Alofi,NU,75.2,overcast clouds,-19.0595,-169.9187,Taloa Heights
423,Sinnamary,GF,79.54,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
430,San Patricio,US,66.2,mist,28.017,-97.5169,"Motel 6 Sinton, TX"
433,Rabo De Peixe,PT,66.0,light rain,37.8,-25.5833,Quinta das Giestas
435,Cabedelo,BR,86.0,broken clouds,-6.9811,-34.8339,Hotel Pigalle
438,Tocopilla,CL,75.18,clear sky,-22.092,-70.1979,Hotel Galvarino
442,Takoradi,GH,83.59,scattered clouds,4.8845,-1.7554,Raybow International Hotel
448,Iquitos,PE,78.8,moderate rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
449,Payakumbuh,ID,71.08,overcast clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
450,Fayaoue,NC,79.57,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
451,Finschhafen,PG,81.39,overcast clouds,-6.6024,147.8681,Cossam Guest House
454,Inhambane,MZ,86.0,light rain,-23.865,35.3833,Oceano
459,Luanda,AO,84.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
460,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
462,Kudahuvadhoo,MV,83.57,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
463,Coquimbo,CL,69.8,few clouds,-29.9533,-71.3436,Hotel San Juan
464,Bandarbeyla,SO,75.16,overcast clouds,9.4942,50.8122,JABIR HOTEL
465,The Valley,AI,84.2,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
470,Kununurra,AU,77.0,overcast clouds,-15.7667,128.7333,Hotel Kununurra
472,Luxor,EG,68.0,clear sky,25.6989,32.6421,Iberotel Luxor
476,Maceio,BR,84.2,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
483,Quelimane,MZ,84.2,broken clouds,-17.8786,36.8883,Hotel Flamingo
485,Butembo,CD,66.85,overcast clouds,0.15,29.2833,Hotel Butembo
488,Sal Rei,CV,77.0,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
489,Esmeralda,CU,78.8,broken clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
491,Ambilobe,MG,76.98,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
492,Petrolina,BR,78.8,moderate rain,-9.3986,-40.5008,JB Hotel
496,Banjar,ID,78.8,few clouds,-8.19,114.9675,The Hamsa Resort
502,Harper,LR,81.5,light rain,4.375,-7.7169,Screensaver
505,Passo Fundo,BR,78.94,few clouds,-28.2628,-52.4067,Maitá Palace Hotel
508,Pulgaon,IN,71.96,clear sky,20.7333,78.3333,Jagruti Vikas Prakshikshan Sanstha
509,Chumphon,TH,65.53,clear sky,10.3333,98.8333,สกาน จ๋า.
515,Kilindoni,TZ,82.13,broken clouds,-7.9139,39.6668,Bustani B&B
517,Kalabo,ZM,74.53,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
518,Champerico,GT,86.0,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
521,Nelson Bay,AU,70.0,clear sky,-32.7167,152.15,Mantra Nelson Bay
522,Carutapera,BR,83.41,light rain,-1.195,-46.02,Lidera
525,Miri,MY,77.0,light rain,4.4148,114.0089,"Mega Hotel, Miri"
531,Atambua,ID,76.62,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
532,Sydney,AU,73.99,clear sky,-33.8679,151.2073,The Grace Sydney
533,Lamu,KE,78.35,overcast clouds,-2.2717,40.902,Lamu House
535,Salinopolis,BR,85.57,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
540,Hoi An,VN,69.8,scattered clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
544,Kikwit,CD,80.8,overcast clouds,-5.041,18.8162,Guest L'Amour
545,Tecoanapa,MX,81.93,few clouds,16.5167,-98.75,Hotel Manglares
549,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
551,Puerto Cabezas,NI,82.4,broken clouds,14.0351,-83.3888,Hotel Caribe
553,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
555,Vogan,TG,87.8,haze,6.3333,1.5333,Hotel Sitsope Phenix
557,Axim,GH,82.76,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
561,Port Hedland,AU,86.0,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
565,Nyaunglebin,MM,67.73,clear sky,17.95,96.7333,Royal Motel
570,Vallenar,CL,87.26,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
571,Maldonado,UY,87.8,scattered clouds,-34.6667,-54.9167,La Cimarrona
572,Isla Mujeres,MX,82.4,few clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
573,Quatre Cocos,MU,81.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
574,Lotofaga,WS,77.0,few clouds,-13.9764,-171.8578,Sataoa Beach Fales
575,Jacutinga,BR,75.2,broken clouds,-22.2856,-46.6122,Hotel Filhos de Gandhi
576,Dibulla,CO,83.59,broken clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
578,Rawson,AR,70.57,clear sky,-43.3002,-65.1023,Hosteria Sampedro
579,Weston,US,73.4,clear sky,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
580,Malacacheta,BR,75.34,broken clouds,-17.8422,-42.0767,Pousada Varanda do Sol
584,Nishihara,JP,69.8,broken clouds,26.1842,127.7558,Minshuku Agaihama
597,Pundaguitan,PH,81.84,light rain,6.3711,126.1689,Leonardo Family Beach House 1
600,Moreira Sales,BR,75.56,scattered clouds,-24.0622,-53.0069,Portal Moreira Sales
606,Ternate,ID,78.24,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
611,Oistins,BB,82.4,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
613,Bumba,CD,88.07,broken clouds,2.1833,22.4667,Hôtel Cape Town
615,Tlacotepec,MX,70.34,few clouds,20.0667,-97.8667,RANCHO LA ILUSION
622,Asosa,ET,72.95,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
623,Viedma,AR,89.73,clear sky,-40.8135,-62.9967,Hotel Cristal
625,Mathathane,BW,84.4,overcast clouds,-22.2687,28.7495,Selepswe Resort
627,Campo Grande,BR,86.0,scattered clouds,-20.4428,-54.6464,Hotel Harbor Self Buriti Suítes Campo Grande
628,Tete,MZ,87.01,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
630,Tabuk,PH,70.95,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
632,Tamandare,BR,83.66,light rain,-8.7597,-35.1047,Pousada 100 Passos
633,El Alto,PE,86.0,clear sky,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
634,Keti Bandar,PK,66.24,clear sky,24.1447,67.4497,Haji laloo memon house
636,Palmeiras De Goias,BR,86.88,overcast clouds,-16.805,-49.9258,Hotel Água Virada
637,Eldorado,BR,82.67,few clouds,-23.7869,-54.2836,Villa Verde Hotel
640,Ahuimanu,US,71.6,light rain,21.4447,-157.8378,Paradise Bay Resort
648,Tabuelan,PH,78.8,overcast clouds,10.8209,123.8689,Payag ni Juan
653,Kasulu,TZ,68.94,moderate rain,-4.5767,30.1025,Nazaret lodge
656,Camanducaia,BR,84.2,scattered clouds,-22.7553,-46.1447,Pousada Rancho Doce Lar Pousada em Camanducaia
661,Matamoros,MX,68.0,broken clouds,25.5333,-103.25,Quinta Belem
662,Sao Miguel Do Araguaia,BR,87.12,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
664,Antalaha,MG,78.62,light rain,-14.9003,50.2788,Hotel Vitasoa
667,Samfya,ZM,69.85,moderate rain,-11.3649,29.5565,Chita Lodge Samfya
669,Noumea,NC,79.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
672,Foumban,CM,87.12,scattered clouds,5.7291,10.9001,Hotel Pekassa De Karche
673,Sorong,ID,80.29,overcast clouds,-0.8833,131.25,The Waigo Hotel
678,Baculin,PH,77.56,overcast clouds,7.4525,126.5842,Shovy's Cove
681,Matadi,CD,81.27,overcast clouds,-5.8167,13.45,Hotel Fortune
682,Camana,PE,75.52,broken clouds,-16.6228,-72.7111,Hostal Morales
686,Emerald,AU,73.4,clear sky,-23.5333,148.1667,The Irish Village
689,San-Pedro,CI,83.26,scattered clouds,4.7485,-6.6363,Hotel Maria
690,Ca Mau,VN,74.52,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
692,San Policarpo,PH,79.39,overcast clouds,12.1791,125.5072,JM Lodge
693,Bani,DO,84.2,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
699,Antofagasta,CL,75.99,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
701,Puerto Padre,CU,80.6,scattered clouds,21.195,-76.6028,El Paseo
702,Candelaria,PH,75.99,few clouds,13.9311,121.4233,Casa de Provincia
705,Lakatoro,VU,80.55,moderate rain,-16.0999,167.4164,Lakatoro Palm Lodge
708,Mizque,BO,66.36,overcast clouds,-17.941,-65.3402,Hotel Mizque Boutique
709,Meulaboh,ID,77.65,scattered clouds,4.1363,96.1285,Kost Pria
714,Labuan,MY,77.0,few clouds,5.2767,115.2417,Tiara Labuan Hotel
715,Kabare,CD,66.72,light rain,-2.4683,28.8242,Hôtel Panorama
716,Rio Gallegos,AR,68.0,few clouds,-51.6226,-69.2181,Hotel Santa Cruz
718,Vanimo,PG,78.66,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
